id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,27160,6,,,,,,,,,,,3,,
1,27173,6,,,,,,,,,,,3,,
1,27186,6,,,,,,,,,,,3,,
1,27199,6,,,,,,,,,,,3,,
1,27240,,,,10,,,,,,,,3,,
1,27413,12,,,,,,,,,,,3,,
1,27471,8,,6,,,,8,6,303,12,,3,,
1,27484,8,,,,,,,,,,,3,,
1,27553,,3,,,,,,,,,,3,,
1,27635,,,3,,,,,,,,,3,,
1,27716,4,,,,,,,,,,,3,,
1,27729,4,,,,,,,,,,,3,,
1,27742,4,,,,,,,,,,,3,,
1,27744,8,,,,,,,,,,,3,,
1,27755,12,,,,,,,,,,,3,,
1,27757,8,,4,,,,,,,,,3,,
1,27764,12,,,,,,,,,,,3,,
1,27768,4,,,,,,,,,,,3,,
1,27769,8,,,,,,,,,,,3,,
1,27773,12,,,,,,,,,,,3,,
1,27780,4,,,,,,,,,,,3,,
1,27783,12,,4,,,,8,4,303,5,,3,,
1,27792,12,,,,,,,,,,,3,,
1,27795,8,,,,,,,,,,,3,,
1,27800,12,,,,,,,,,,,3,,
1,27808,8,,,,,,,,,,,3,,
1,27809,12,,,,,,,,,,,3,,
1,27817,3,,,,,,,,,,,3,,
1,27818,12,,,,,,,,,,,3,,
1,27820,8,,,,,,,,,,,3,,
1,27827,12,,,,,,,,,,,3,,
1,27829,3,,,,,,,,,,,3,,
1,27834,8,,,,,,,,,,,3,,
1,28167,,8,,,,,,,,,,3,,
1,28389,,12,,,,,,,,,,3,,
1,28393,,8,,,,,,,,,,3,,
1,28472,,8,,,,,,,,,,3,,
1,28522,,12,,,,,,,,,,3,,
1,28674,,12,,,,,,,,,,3,,
1,28942,,,,,,,,,,,,3,3,7
1,29417,,12,,,,,,,,,,3,,
1,29572,,12,,,,,,,,,,3,,
1,29582,,,,,,,,,,,1,4,,
